,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
36714,0.0078853415,-0.00023642617,-0.02441176,0.0032409767,0.011216968,-0.016906977,0.008833115,-0.0053647957,0.0078101587,-0.006557884,0.018511072,-0.0062805875,0.008846465,0.020495968,-0.007445267,0.018361859,-0.024024105,0.014335804,0.0117460275,-0.037770126,-6.1963685e-05,0.010291602,0.003952037,-0.022597192,-0.02048037,0.008115053,-0.0041504395,-0.005177965,-0.004062058,0.008724846
36750,0.0013681389,0.026436826,0.027443187,0.030135423,0.038242597,0.020736052,0.016540458,0.02053857,0.039658964,0.02025075,0.0447067,0.026677886,0.052924078,0.033749875,0.03902683,0.057522167,-0.0047159437,0.045366455,0.027446575,0.026319383,0.04036164,0.02690436,0.023368834,0.015766853,0.057295892,0.012556019,0.036494456,0.0172752,0.021476382,0.0055638147
36751,0.006996814,-0.028249523,-0.0008229523,0.0006056858,0.0016902235,0.005495315,0.006279558,0.003426047,-0.009916947,0.024790803,-0.023339123,-0.038037434,-0.01430834,-0.010102283,0.00039233422,0.035578024,-0.024732381,-0.024017856,0.03364333,-0.017706273,-0.013904397,-0.027205845,0.016036337,0.01597968,-0.011017285,-0.031308338,0.006166959,-0.007739873,-0.0018323517,-0.03207264
36791,-0.018585471,0.00055062835,0.0065752477,-0.010019813,-0.01439101,0.020501075,0.013559763,-0.0063142255,-0.0014291859,-0.011223778,0.029840007,-0.009625831,0.023406217,-0.01049569,0.013332576,-0.008269252,0.015544902,-0.00015051763,-0.027290046,0.021524278,0.009772635,0.016163804,-0.016746832,-0.0006576805,0.0070567564,-0.023698347,0.012117061,-0.019021446,-0.004696234,-0.015355933
36792,0.017502567,0.024303423,0.00852691,0.030142779,0.024824636,0.01414429,0.05052376,0.016743528,0.025212472,0.01425349,0.0011762917,0.011721092,0.014356625,0.032321002,0.0033831357,0.009320805,0.023798095,0.016002519,-0.016391775,0.023005469,0.033796947,0.009748312,0.0032986004,-0.006319456,0.014745265,0.0201373,0.004959596,0.020393541,0.028726066,-0.0092569785
36794,0.078357905,0.07616398,0.021472327,0.03549823,0.021756507,0.041319218,0.07959823,0.058117557,0.052448053,0.07262026,0.04317002,0.08845327,0.067745075,0.07640556,0.05453616,0.0473213,0.05667365,0.055990577,0.08014089,0.046251487,0.04635908,0.037949305,0.037118107,0.0563679,0.04353182,0.035188537,0.04973917,0.049708396,0.033200674,0.038773295
36795,0.05450813,0.05182506,0.03837805,0.059912924,0.02628777,0.057236884,0.048965294,0.05649822,0.03426738,0.049559157,0.048190832,0.043775495,0.058062017,0.024019241,0.027734065,0.031890947,0.02482544,0.061775666,0.03975677,0.08676025,0.04107389,0.052881,0.0380032,0.02677843,0.05428865,0.031195903,0.08554011,0.02485153,0.048377905,0.05494811
36836,0.04156917,0.04397619,0.021813609,0.05724065,0.036010128,0.03730594,0.03174108,0.031041652,0.05327462,0.061733037,0.026071517,0.043057065,0.086459875,0.04676549,0.048264567,0.076455906,0.0020099431,0.06003675,0.06443587,0.04380867,0.038671684,0.056040738,0.05247933,0.03910311,0.019456534,0.06385528,0.018135777,0.053221926,0.030059969,0.065224424
36837,0.03576817,0.03485595,0.057870258,0.030057833,0.06826647,0.08462777,0.07340289,0.028440356,0.06227332,0.07016324,0.06614544,0.035132688,0.05250137,0.064459145,0.055167962,0.051987242,0.024735613,0.024412058,0.07081453,0.03252162,0.052999835,0.044816613,0.029723069,0.07204581,0.04139198,0.058406245,0.048408225,0.021943534,0.06407974,0.025523461
36838,0.03860912,0.03499837,0.03982992,-0.00014274714,0.0039564962,0.044622023,0.050200835,0.021563753,0.011530901,0.08039719,0.02854447,0.031319954,0.03486007,0.05866522,0.037346628,0.046205938,0.021842197,0.024034604,0.026776252,0.04191242,0.022442719,0.039487015,0.0048645344,0.01978266,0.05045928,0.01808915,0.024628641,-0.0018150453,0.023870304,0.048274565
