,bee,cat,squirrel,ant,goat,raccoon,frog,kangaroo,leopard,fish,camel,penguin,giraffe,horse,zebra,alligator,rabbit,lion,cow,tiger,elephant,sheep,turtle,dog,rhinoceros,donkey,monkey,bear,bird,deer
78276,0.030407006,0.013029344,0.016029561,0.039474733,0.013742231,-0.0036973015,0.0045158835,0.01023145,0.042701308,-0.0069520795,0.0075199506,0.009963573,-0.014024938,-0.0029469412,0.02709728,0.029561771,0.014337522,0.04202943,0.03329967,0.024202049,-0.0026362936,0.0052605444,0.030926248,0.025463676,-0.024837105,0.017068727,0.022858957,0.035922606,0.059522003,0.025835812
78277,0.015156764,-0.007522956,0.021564623,0.012898524,0.025163474,0.0033928405,0.0012362977,0.03717473,0.060953345,0.016794628,-0.020034036,-0.00045723407,0.009576143,-0.026854398,0.05600524,0.066089146,0.025730697,0.031452414,0.034880627,0.04616405,0.006695518,0.044696037,0.050980926,0.033662125,0.021583103,0.041216474,0.021771597,0.036891602,0.045175772,0.034578085
78278,-0.0025259014,0.006391961,0.035820577,0.015440407,0.01607222,0.008189815,-0.007429113,-0.0093684625,0.057762276,0.01723015,-0.013742175,-0.014113863,0.009074211,-0.01361702,0.016148088,0.05058678,0.01299763,0.040309962,0.019204887,0.05354302,0.011385675,0.031567127,0.0153369615,0.017406726,-0.024326568,0.020976022,0.0023303125,0.008429966,0.0070950226,-0.008912891
78279,-0.0016375342,0.0013404703,0.053194787,-0.0060050464,-0.029255962,-0.0062520406,0.00976028,-0.031661052,0.03156444,0.0061112526,0.024442524,-0.03456424,-0.014255807,-0.006686933,0.01246535,0.010926413,-0.009744006,0.010146723,-0.022486659,0.031067437,0.002645474,-0.003969071,-0.006319681,0.0055332123,-0.026717449,0.012976475,0.009411533,-0.0049523287,-0.03179915,-0.011537007
78310,-0.024264129,0.021323845,0.0189117,0.005933516,0.023166163,-0.011362531,0.00035367845,-0.00757397,0.011565737,-0.011126918,-0.015886204,-0.0074786968,-0.003818371,0.0077756536,0.0129793435,0.020019783,-0.02213577,0.026204875,0.015310374,0.015921935,0.0070269317,0.0014864042,0.036038004,0.03903934,-0.006305793,0.0065687113,0.008092679,0.046520084,0.040670246,0.022877835
78311,0.0062202313,0.034468334,0.022138549,0.028806815,-0.027597101,0.0111151375,-0.016348578,0.0125515545,0.069693655,0.023038246,-0.0024990954,-0.012552828,0.009896635,-0.0062218704,0.021337127,0.020178823,0.00052517,0.042369496,0.009300539,0.04825872,0.005740244,-0.0060270373,-0.0021306593,0.013869817,0.044859853,0.01816829,0.007682294,0.016816556,0.03934844,0.005599411
82670,0.031764835,0.016718892,0.07871634,0.02968274,-0.008385772,0.055049744,0.03106491,0.037337776,0.13046922,0.02168657,0.04591346,0.0006341843,0.033518605,0.039046053,0.08158096,0.09755514,0.062452603,0.10380285,0.05412696,0.07114167,0.0659045,0.06891141,0.054792937,0.0711235,0.028422222,0.025056688,0.06379198,0.0545789,0.06376124,0.0417238
82671,-0.005425595,0.010146442,0.018278705,-0.020602463,0.022076236,0.055258717,0.0147007555,0.014419151,-0.0007843965,-0.0047144685,0.008073435,-0.0066965,0.008026405,0.0084899925,0.020173235,0.028824607,0.0100285085,0.02515993,0.0051748147,0.016594619,0.03855097,0.0128583945,-0.003636267,0.04244979,0.02875866,0.050053354,0.006849131,-0.01881141,0.0016343553,0.04639444
82672,0.015068759,0.07213914,0.028059259,0.048952654,0.053546365,0.021786064,0.0071704364,0.042899117,0.016249651,0.0038144619,0.036910642,0.014606412,0.025719685,0.05998588,0.020315878,0.03037712,0.03653181,0.049397647,0.037484523,0.06179601,0.05387194,0.04216301,0.06895647,0.026337007,0.034275778,0.038721498,0.019872839,0.037241086,0.06611438,0.00174789
82691,0.0418869,0.038206503,0.008898082,0.025126534,-0.012275537,0.075249985,-0.020468505,0.022854654,0.042543754,0.01803573,0.030765219,-0.02680116,0.025762087,0.058195952,0.06717194,0.050707716,0.026343837,0.024128243,0.039653074,0.03326964,0.05176093,0.038770333,0.035246518,0.036853682,0.028185839,0.001362679,0.040233947,0.022412688,-0.0048496635,0.016994782
82692,0.0035919312,0.023477286,0.054102678,0.057937104,-0.0047186757,0.074001946,0.024021663,0.060755566,0.064833604,-0.000964387,0.020934759,-0.028589567,0.048157703,0.061792914,0.04712816,0.067931496,0.047711287,0.07154424,0.033348955,0.039723516,0.04472312,0.1039598,0.040225662,0.03779823,0.006316721,0.019112173,0.056326076,0.016680058,0.04427417,0.03845103
