,squirrel,zebra,kangaroo,desk,bottle,turtle,bee,chair,sheep,knife,horse,monkey,donkey,elephant,bus,couch,alligator,camel,fish,hammer,scissors,guitar,shoe,cow,cat,penguin,banana,bear,brush,rhinoceros,bird,raccoon,ant,microscope,kite,rabbit,trumpet,umbrella,dog,axe,piano,frog,tiger,leopard,boat,goat,deer,lion,giraffe
10113,0.021958617,0.007565845,-0.01806512,-0.012441892,-0.01743354,0.0098982705,0.017470224,0.020614421,-0.03414797,0.008129012,0.017984835,0.016880779,0.004028674,0.05213048,-0.028485442,5.095328e-05,0.04913166,0.052669298,-0.003532797,-0.0019756518,0.022691771,-0.012828057,0.03224584,0.014078752,-0.001348802,-0.0076962053,0.013613179,0.036277737,0.0166441,0.023389166,0.016644897,0.0060795546,0.024331475,0.0060277283,0.0037290622,0.007160351,0.036992367,-0.00090639637,0.007788652,0.030773131,-0.0023216808,0.001266477,0.008687209,0.00924247,-0.002181935,0.0068645445,-0.0046951207,0.015622166,-0.008866875
10114,0.011370242,-0.008904882,-0.02082768,-0.007734623,-0.053249847,-0.00017057064,0.015539546,0.0041665216,-0.022525622,-0.013676555,0.012063668,0.020255541,-0.03946278,0.040541694,-0.05739918,-0.03354351,0.05033743,0.064267404,-0.013443752,0.0029340282,0.029104715,-0.030417366,0.029567406,-0.010021661,-0.0039208345,-0.02441346,0.0068604792,0.028816015,0.008702804,-0.010136825,0.008236828,0.008133135,0.026235318,0.00524842,0.015464179,-0.004998099,0.03254537,0.0077876323,0.026974259,0.026633205,-0.036608838,-0.0055409544,0.0041988436,0.005299967,0.0035986176,0.030761713,0.030516634,0.0051927404,-0.019246526
10139,-0.016895762,-0.036252324,-0.017230285,-0.014017385,-0.0069048167,-0.013215444,-0.013874978,0.0024362507,-0.035329808,0.024805406,-0.0037823499,-0.0150349215,0.008160823,-0.010644215,-0.025962582,-0.00022007215,0.008586543,0.06944175,0.0010681724,0.023748806,0.027884923,-0.032165915,0.0063769794,0.008262944,-0.005330892,0.011432842,-0.0008368585,0.0060857707,0.0651387,-0.009612442,0.003463137,0.037001286,0.015887605,-0.008028939,-0.01779428,0.009589375,0.006065844,0.027340932,0.012727189,0.009473011,0.012862529,-0.0051942053,0.020356275,-0.010547516,0.023567697,-0.008877876,0.030764116,-0.015530077,0.014355663
10140,-0.014888394,-0.03487835,-0.027904086,-0.00021381599,0.0054303785,-0.012056013,-0.013065282,0.007883378,-0.023517124,0.0026487906,-0.006358098,-0.00020419247,0.0050246264,-0.024903953,-0.003289488,0.008670243,0.0029242449,0.061435785,-0.019231915,0.014380519,0.012863171,-0.019526303,0.02535298,0.0159286,-0.021251371,0.0044975607,-0.004409882,-0.013054125,0.02472944,-0.027736165,-0.013429743,0.028373487,-0.0031974602,0.009615851,-0.01395148,-0.010984718,0.014295851,0.026863761,0.019464685,0.02090811,0.010960092,0.0042529926,-0.0005218112,-0.0013231345,0.02520708,-0.030219957,0.012534466,0.004814298,0.011735205
10141,-0.024621567,0.0035430826,-0.0024091117,-0.019903073,0.03214662,0.006426979,0.008199711,0.011273667,0.01183958,0.0017196039,0.0045648552,0.014600142,0.007397951,0.00059141935,0.008444648,0.020248413,-0.003104959,0.014660469,-0.009679414,-0.0040630116,0.004856207,0.004325129,0.00082359713,-0.010298028,0.017446226,-0.030943595,0.005469911,0.01106543,-0.013410427,-0.0043089055,-0.0129389735,0.020440808,0.02289775,0.023162363,0.027487626,-0.0106976675,-0.0029465172,0.008530988,0.006361376,0.0018093088,-0.010015123,-0.015222049,0.02849848,0.03060262,0.0076115984,0.013747522,0.03641186,-0.03678006,-0.011476318
10142,0.02973759,0.007854743,-0.0075401985,-0.015173969,-0.005573329,-0.0064915605,0.0027351351,-0.0019161571,-0.03362678,-0.0067100376,0.00026872032,-0.023518609,-0.02108916,-0.0035622239,-0.025257329,-0.025153724,0.018316286,0.014328807,-0.0027350553,0.030547222,-0.0011406932,-0.0032342367,0.009501121,-0.0195912,0.020602679,0.020079667,-0.019068096,-0.024186773,-0.016695624,-0.0030131906,-0.025310976,0.018798148,-0.011138591,-0.0022926333,0.0030430325,-0.01607942,0.017540025,-0.008313567,0.021939615,-0.0012457174,-0.019281311,0.009907926,-0.0219665,0.0017187566,-0.009572572,-0.033095516,-0.013769477,-0.009370725,-0.026381053
10179,0.014768,-0.00958468,-0.024708867,0.008523355,-0.023349399,0.004365631,-0.0004492638,0.028552629,-0.008114787,0.036244173,0.016747661,-0.0017774021,0.010380771,0.020400478,-0.028366446,-0.003151358,0.027623253,0.06409028,-0.030257905,0.0067565753,0.028791353,-0.017878506,0.0203103,-0.012253317,0.0027800438,0.024920218,-0.0016920284,0.0070453007,0.03736944,-0.011262067,-0.018385855,0.027233576,-0.00053450436,-0.01115514,-0.014727821,-0.00061056606,0.023680316,0.019067101,0.01499718,0.004756474,0.011458085,0.011913788,0.0026508383,0.0057602525,0.02568116,0.0050338893,-0.01375198,5.879936e-05,0.0053413115
10180,-0.024530089,-0.019547626,-0.02910921,-0.013446507,-0.0055742064,0.018070994,0.007347197,0.028962346,-0.015737189,0.008982331,0.014778507,-0.014783967,0.009303852,-0.0146522075,-0.005464043,0.005843203,0.005385595,0.022250317,-0.012404651,0.012396055,0.007350834,-0.035422277,0.011086312,0.0045055323,-0.016011951,0.03313186,-0.0045459406,-0.025372049,0.036725298,-0.012219542,-0.022203736,0.006034167,-0.03184729,-0.0035661103,-0.03295651,-0.022934584,0.012356383,-0.0060407245,0.02169388,-0.0032300798,0.01397743,-0.0068995315,0.004443319,-0.03930991,0.0059436555,-0.0053513944,-0.018866912,-0.006228873,-0.0019495739
10181,-0.002286949,0.01228197,-0.029670402,-0.037632573,0.0016896892,-0.0064836554,-0.0074229524,0.0052854046,0.027717628,-0.009201938,-0.004360534,0.0020662674,0.0076088593,0.009622905,0.009237963,0.010230172,0.015693652,0.017549166,-0.042331893,-0.011813181,0.009962045,-0.030094912,0.010957078,0.022293076,0.00906748,-0.016774058,0.013866489,0.020409422,0.011331751,-0.00082002376,-0.009815613,0.010601141,0.027186098,-0.029061295,-0.0040148254,0.001152005,0.019891294,-0.0007351606,-0.0038651917,0.012461804,0.01460978,-0.026677728,0.009707432,-0.02452868,0.007465102,-0.01829466,-0.022593526,0.007785054,-0.00696652
12423,0.01689014,-0.009915404,0.0031535618,-0.0016107057,0.034727123,0.031348225,-0.019476986,-0.012453343,0.022631435,0.026708936,0.004690089,-0.005166869,0.00051346916,0.0015197148,0.0006853854,0.03501093,0.014048071,0.036598362,-0.023617566,0.025269853,-0.0077222325,0.025132814,0.028335905,0.010498404,0.012770264,0.038763564,0.023504546,0.01693528,0.03662197,0.004371034,-0.0035295517,0.04017288,0.0066086915,0.0013011063,0.018763786,0.019090394,0.019477354,0.036863625,-0.022787208,-0.026932245,0.011671073,0.036463525,-0.0042521325,-0.0054031075,0.021915058,0.020656817,-0.025237113,-0.015386437,-0.025719397
