,boat,penguin,cat,ladder,bus,horse,apple,dolphin,table,bear,axe,elephant,bell,pencil,spoon,frog,tiger,guitar,turtle,rhinoceros,cow,bee,monkey,spider,banana,rabbit,shoe,tree,trumpet,cactus,kangaroo,chair,dog,giraffe,wolf,lion,mushroom,tie,computer,whale,dress,hammer,scissors,ant,butterfly,popcorn,rifle,microscope,sheep,kite,knife,motorcycle,fish,piano,scorpion,umbrella,couch,brush,bottle,cup
20146,0.011299516,-0.029404638,0.041764136,0.057709977,0.031350683,-0.0013992494,0.02600761,-0.029354012,-0.014799385,-0.026355052,0.04789513,0.03761048,0.017338552,0.026698975,0.024159431,0.027968116,0.021298477,0.056967497,0.028019467,0.026698887,0.011469594,0.025110358,0.015236785,0.03583045,0.03635915,-0.0038713922,0.049268242,-0.010977667,0.027245471,0.002219307,0.050747167,0.009989256,0.021153284,0.021713326,0.0069877766,-0.03337356,0.042683467,0.011748741,0.02106206,-0.02760897,0.01756154,0.04507195,0.007737817,0.0148452455,0.008441899,0.0033108576,0.048139673,0.030138439,0.018793594,-0.00554549,0.054581676,0.005195425,-0.002468006,-0.0067367083,0.015222799,-0.0055337683,0.020391254,-0.00956167,0.00039274184,0.015750872
20187,0.0077854,0.004841245,0.011191338,0.013501328,0.006104099,0.008407033,-0.016287267,0.008008378,-0.008583039,0.034184616,0.06252634,0.009237272,0.024224266,0.031302176,0.0009119226,-0.013259135,0.0032334551,0.030721823,0.023672998,0.0053261355,-0.0013273827,-0.011378777,0.0011007525,0.039245952,0.03866055,0.010337313,0.022947527,-0.031221308,0.05058782,0.03310438,0.029439278,0.0057629957,-0.0051904134,0.0035398323,0.046806205,-0.0060217604,0.007781353,-0.006176084,-0.021481514,0.014465471,0.030273527,0.029004976,0.02222117,0.025624314,0.022137279,-0.008294812,0.07257218,0.03302392,-0.005522402,0.027916506,0.010094228,0.0014350688,0.026120238,-0.006903991,0.009802143,0.022512885,-0.0027270715,0.0024633708,-0.00051829376,0.00018400357
20188,-0.0002536485,-0.00012801192,0.05448019,0.006119905,0.0039347843,0.00810424,0.0144857215,0.017039848,-0.021684505,0.0060374923,0.03437231,0.0017090539,0.021576712,0.0016713116,0.0160245,0.010944809,0.014380286,0.024194798,0.0030290084,0.0038889523,-0.0050690616,0.021253789,0.013384865,0.041781742,-0.005049822,-0.010994304,0.01906826,0.0023366893,0.029936202,0.011517455,0.001908387,0.019357596,0.027960865,0.011516747,0.01801747,-0.012395891,0.0035486647,0.024840506,0.01756105,0.004798014,0.008319081,0.009071657,0.0037639157,0.03288275,0.0082202,-0.0126661435,0.02530081,0.013023124,-0.0024165001,0.020852765,0.008513267,-0.0052033826,-7.83888e-05,-0.0104038855,0.03212831,0.018853476,-0.030619472,0.010931991,-0.00076986104,0.033385757
20189,-0.010942131,0.020578407,-0.004446269,0.0019264994,0.011745273,-0.00023947221,-0.011765063,0.008346886,-0.022039453,-0.010647076,-0.0014499895,0.024023883,0.025233187,0.005207118,-0.008939859,-0.021648005,-0.008556622,-0.011255026,-0.030682126,0.0060644303,0.008110239,0.003067632,-0.018130992,0.0071969177,-0.0023693503,-0.0074366783,-0.009458118,0.021446861,-0.016032208,0.005805867,0.021457242,0.003088857,-0.0001590847,0.0030002191,-0.0010974148,-0.0057638786,-0.021005088,0.029932663,0.01301055,0.0008153452,0.02634731,0.013341528,0.014401528,0.022075282,0.0028598483,-0.008056817,0.024099102,-0.0061168894,-0.010461263,-0.030638836,-0.007992502,0.0075393096,-0.028134063,-0.018144036,0.022554504,0.018503524,0.006018548,-0.015195881,-0.0014430011,0.00952581
20190,-0.0075112158,0.026087284,0.010840182,-0.015829777,0.011675463,0.0036531098,0.004660619,0.0053152447,-0.022876933,0.02078624,0.02182442,0.02201313,0.009439235,0.0005512217,0.003849927,-0.016563643,0.02679549,0.008600097,-0.029833259,0.024025112,0.003678831,0.005276839,-0.0112242745,0.017200472,0.025387133,-0.008368819,-0.016055087,0.021442257,-0.027556485,0.0032190299,0.01870809,0.021842541,0.013420532,0.0028918032,-0.007579414,0.02648559,0.00041083837,0.017318463,-0.00046501277,-0.021797853,0.021106,-0.021410683,0.01921271,-0.018073069,0.010829531,0.004727883,0.01228899,0.026293496,-0.0061655287,-0.008818582,-0.0007720096,0.005539726,0.008359057,-0.0034006087,0.0011170594,-0.0007529678,-0.017373247,-0.00815107,-0.008572494,0.0051879287
20233,0.0213645,-0.0131454365,0.061998714,0.0055884197,-0.018968245,0.020466892,0.000980371,0.052953854,0.010014388,0.010103012,0.03381825,0.035527904,0.045749277,0.013499965,-0.008690786,0.012160499,0.03449685,0.014757288,0.0077840756,0.047831524,0.020736258,-0.012024994,0.032546047,0.047922906,0.009241347,-0.00039015585,0.04903474,-0.007909455,0.046995644,0.019676566,0.011869668,0.000901892,0.030684458,0.0046433513,0.054337453,0.025197966,0.020071466,0.010249719,-0.01076366,0.0049975314,0.024250424,0.03588895,0.038520046,0.026732778,0.016793676,0.004480403,0.020038448,0.023252131,-0.009806663,-0.018606195,0.029640505,0.035133895,0.009088822,0.0013459212,0.010311144,0.018390397,-0.013891666,0.0141545795,0.00040479688,0.0356627
23149,0.047893688,0.032831054,0.026271028,0.05275874,0.0037382066,0.04544309,0.056120437,0.030399678,0.017594462,0.031809963,0.05863638,0.02721901,0.050623756,0.052541073,0.019296248,0.021967249,0.014966261,0.018707953,0.04898647,0.0057008304,0.03007627,0.041964393,0.055428524,0.042672973,-0.006379628,0.04788439,0.013295591,0.0033133335,0.0044392287,0.040003125,0.030853584,-0.002274109,0.047567964,0.05214039,0.03952664,0.03914102,0.044612944,0.0027667042,0.014837335,0.03842492,0.049509108,0.047259834,0.0699685,0.005332207,0.03697701,0.003505022,0.020021407,0.02613768,0.042656433,0.0045436677,0.0036240506,0.051114473,0.025088603,0.028876504,0.028570479,0.020404935,0.0001355973,0.018430157,0.013039743,0.0021724075
23192,0.03351537,0.03635745,0.04598402,0.00094692194,0.031663094,0.06784134,0.044329494,0.05351157,0.00237245,0.023919137,0.103992194,0.0580823,0.061572682,0.07796926,0.017698405,0.09118375,0.051203817,0.04827948,0.08845872,0.037952844,0.037458524,-0.00442891,0.04016261,0.06655394,0.08236262,0.04129425,0.08555593,-0.04654494,0.11055097,0.03154026,0.092144124,-0.016938498,0.0443442,-0.012698294,0.08241279,0.047721405,0.049341947,0.03737139,0.014054866,0.01992107,0.040099133,0.083484076,0.078095265,0.047243368,0.04566611,0.035511065,0.11769426,0.058564533,0.059353795,0.0048775896,0.09033468,0.011438894,0.045483872,-0.010303894,0.08401948,0.0070069632,-0.004552933,0.045759603,0.039564002,0.07325301
23193,0.017736955,0.02303087,0.036948632,0.0027867258,0.009237275,0.07034473,0.022552535,0.041827008,-0.009986974,0.025788868,0.10782779,0.037190624,0.063969634,0.063274994,0.010393962,0.07618562,0.056330204,0.06015551,0.038893346,0.045250844,0.047354814,0.0069821435,0.046582326,0.08706564,0.08382458,0.019574525,0.05705368,-0.05704775,0.060226697,0.03955079,0.07264636,-0.014016383,0.015413002,0.006508986,0.07215082,0.014761895,0.06565367,0.04339166,0.00875029,0.00036675102,0.05737095,0.054350924,0.07333109,0.037555877,0.039606992,0.017157434,0.091120996,0.05168527,0.028580619,-0.00234594,0.08722239,0.03189717,0.055243988,0.012141287,0.09076185,0.011747204,0.017340997,0.022410946,0.020508522,0.05248962
23194,0.016231176,0.032701064,0.011667888,0.0188485,0.0065104426,0.052017417,0.02113966,0.03132547,0.012985135,0.0018965817,0.08358174,0.028786754,0.06649101,0.033768173,0.03261589,0.045125004,-0.0061331023,0.048570737,0.009145159,0.027410591,0.04564471,0.047789846,0.05122273,0.04871944,0.046134654,0.025904013,0.023344181,-0.06350999,0.04845409,0.05984351,0.005521761,-0.010886247,0.029838083,0.04458806,0.05203277,0.010565609,0.024707975,0.022612287,0.018695183,-0.019444263,0.04905665,0.02764759,0.05252543,0.036677856,0.012997732,0.018239,0.0757726,0.025827043,0.040059973,-0.02158433,0.070832334,-0.000995411,0.017148346,0.0074753365,0.044641066,0.0064013605,-0.02316012,0.011886686,0.010794979,0.026301235
