,donkey,horse,bear,sheep,rabbit,elephant,goat,frog,tiger,dog,cat,lion,turtle,monkey,raccoon,cow,giraffe,fish,alligator,zebra,deer,squirrel,kangaroo,leopard,bee,ant,camel,bird,penguin,rhinoceros
10140,0.0050246264,-0.006358098,-0.013054125,-0.023517124,-0.010984718,-0.024903953,-0.030219957,0.0042529926,-0.0005218112,0.019464685,-0.021251371,0.004814298,-0.012056013,-0.00020419247,0.028373487,0.0159286,0.011735205,-0.019231915,0.0029242449,-0.03487835,0.012534466,-0.014888394,-0.027904086,-0.0013231345,-0.013065282,-0.0031974602,0.061435785,-0.013429743,0.0044975607,-0.027736165
10141,0.007397951,0.0045648552,0.01106543,0.01183958,-0.0106976675,0.00059141935,0.013747522,-0.015222049,0.02849848,0.006361376,0.017446226,-0.03678006,0.006426979,0.014600142,0.020440808,-0.010298028,-0.011476318,-0.009679414,-0.003104959,0.0035430826,0.03641186,-0.024621567,-0.0024091117,0.03060262,0.008199711,0.02289775,0.014660469,-0.0129389735,-0.030943595,-0.0043089055
10142,-0.02108916,0.00026872032,-0.024186773,-0.03362678,-0.01607942,-0.0035622239,-0.033095516,0.009907926,-0.0219665,0.021939615,0.020602679,-0.009370725,-0.0064915605,-0.023518609,0.018798148,-0.0195912,-0.026381053,-0.0027350553,0.018316286,0.007854743,-0.013769477,0.02973759,-0.0075401985,0.0017187566,0.0027351351,-0.011138591,0.014328807,-0.025310976,0.020079667,-0.0030131906
10179,0.010380771,0.016747661,0.0070453007,-0.008114787,-0.00061056606,0.020400478,0.0050338893,0.011913788,0.0026508383,0.01499718,0.0027800438,5.879936e-05,0.004365631,-0.0017774021,0.027233576,-0.012253317,0.0053413115,-0.030257905,0.027623253,-0.00958468,-0.01375198,0.014768,-0.024708867,0.0057602525,-0.0004492638,-0.00053450436,0.06409028,-0.018385855,0.024920218,-0.011262067
10180,0.009303852,0.014778507,-0.025372049,-0.015737189,-0.022934584,-0.0146522075,-0.0053513944,-0.0068995315,0.004443319,0.02169388,-0.016011951,-0.006228873,0.018070994,-0.014783967,0.006034167,0.0045055323,-0.0019495739,-0.012404651,0.005385595,-0.019547626,-0.018866912,-0.024530089,-0.02910921,-0.03930991,0.007347197,-0.03184729,0.022250317,-0.022203736,0.03313186,-0.012219542
10181,0.0076088593,-0.004360534,0.020409422,0.027717628,0.001152005,0.009622905,-0.01829466,-0.026677728,0.009707432,-0.0038651917,0.00906748,0.007785054,-0.0064836554,0.0020662674,0.010601141,0.022293076,-0.00696652,-0.042331893,0.015693652,0.01228197,-0.022593526,-0.002286949,-0.029670402,-0.02452868,-0.0074229524,0.027186098,0.017549166,-0.009815613,-0.016774058,-0.00082002376
12423,0.00051346916,0.004690089,0.01693528,0.022631435,0.019090394,0.0015197148,0.020656817,0.036463525,-0.0042521325,-0.022787208,0.012770264,-0.015386437,0.031348225,-0.005166869,0.04017288,0.010498404,-0.025719397,-0.023617566,0.014048071,-0.009915404,-0.025237113,0.01689014,0.0031535618,-0.0054031075,-0.019476986,0.0066086915,0.036598362,-0.0035295517,0.038763564,0.004371034
12424,0.002669975,0.036934134,0.012954652,0.008670809,-0.001250042,0.0016181193,-0.0071292617,0.009831589,0.014534027,0.014285593,0.0007285296,0.0029168923,0.027194029,-0.0056153275,0.023952099,-0.02352597,-0.02419196,0.010946542,0.03695635,-0.026209788,-0.000742048,-0.04047737,-0.029817991,-0.0035001412,-0.005707404,0.013793585,0.042224426,0.01859515,0.016133912,0.035113584
12425,0.0005360343,0.010196063,0.012560089,-0.0408908,0.007357775,-0.004566415,-0.015006095,0.008487802,0.028522199,-0.022841893,-0.022781074,0.01079557,0.0035609063,0.027355777,-0.032234445,-0.01034089,0.0135815265,0.0030118506,0.011261787,0.0048833643,-0.0057620327,-0.017438907,-0.04008579,-0.047498185,0.007373448,-0.0068179215,0.025011474,0.0025530919,0.022691598,-0.008348553
12426,0.015850136,-0.0011447793,-0.0044725477,-0.0116407275,0.012382998,0.012716025,-0.018286249,0.007348262,0.03449816,-0.0062349555,0.008882832,0.012352155,0.0089361295,0.0048249247,-0.017043995,-0.0014228594,-0.008265631,-0.00456995,0.010279096,0.016844044,-0.00066411245,0.022506958,-0.04840039,-0.031834524,0.017109366,-0.01614209,0.0007322195,-0.025821745,0.02258224,0.008434408
12427,0.041119352,-0.016421316,-0.013801403,0.01429535,-0.0054157586,-0.009270077,0.0036034454,0.022278091,0.023403266,-0.015754802,-0.0032821626,0.005857775,0.017030545,0.011038244,0.03539481,0.021792486,-0.023363605,0.0048582703,0.010601041,-0.020555615,0.013040461,-0.0057622343,-0.010889749,-0.008633873,0.018517148,0.015860302,0.018509774,-0.0025448203,0.0041806106,0.030945672
12451,-0.003058424,0.0011850198,0.002863532,0.006471979,-0.0033842577,-0.022048377,0.0076185516,-0.013112458,-0.0143217975,-0.013820001,-0.014200936,-0.031509534,0.04668026,-0.003704881,0.020772632,-0.020241274,-0.017483162,0.012156549,0.011965264,-0.01112888,0.016466798,-0.043603983,0.014527656,-0.0027342408,-0.011587991,-0.00418012,0.024918651,0.0024007761,-0.018378243,0.006966178
12452,-0.007876686,0.016081832,0.018556444,-0.0148783745,0.012901486,-0.028326953,0.006389676,6.499669e-05,-0.008869558,0.014348081,0.008360922,0.0014915975,0.023369985,0.009946103,0.04210161,-0.011473324,-0.017309414,0.019573255,0.030056119,-0.034433782,0.03946803,0.026755264,-0.006012202,-0.00843756,-0.006129658,0.059986603,0.039691374,-0.0055413325,0.026149603,-0.007251224
12453,0.0008393582,-0.0003233822,-0.011259373,0.012938122,0.021789469,0.015646078,-0.007584048,0.007640718,0.024328934,-0.017409852,-0.005517172,-0.02781002,0.04322043,-0.0014356658,0.005199523,-0.030236095,-0.02277425,0.0025818618,0.04333639,-0.03433002,0.0029964137,-0.022333669,-0.046567604,0.038242307,-0.0063710045,0.010556246,0.02576086,-0.0071182023,0.021043608,-0.011370444
12454,-0.017347254,-0.005069274,-0.012094001,0.00350733,0.011687887,0.030198002,-0.016858142,-0.014336381,-0.012338395,0.00047784424,-0.0057480247,0.006238351,-0.013470568,-0.01324553,-0.0014230494,-0.022574216,-0.022030167,-0.017882721,0.023206532,-0.0015414521,0.011288448,-0.023355661,-0.025247797,-0.00095022283,0.021063551,0.0270912,-0.002265151,0.008705807,0.009234243,0.01385412
12455,-0.013385165,-0.012806575,-0.018025331,0.0019709347,-0.015817188,-0.0018463187,0.014500315,0.03193779,0.010947919,-0.007132176,0.025729261,-0.017412776,0.0016819555,0.0054898434,0.023667246,-0.0073351017,-0.008298022,0.0086429175,0.0024200545,-0.002758217,-0.00036846474,-0.017721968,-0.023208613,0.013557407,0.020655189,-0.004103481,-0.011512375,0.0057275263,-0.016890666,0.01591405
12456,0.010094569,0.017456038,0.0011563757,0.01591519,0.016752625,-0.0030397337,0.04914153,-0.0054522897,0.0160147,-0.005822696,-0.0064187236,0.011726551,0.008287776,-0.007313428,-0.0071621076,0.02216495,-6.653337e-05,-0.027544653,0.021806596,0.004846814,-0.003456739,0.033928916,-0.0052558016,0.0029222944,0.016700342,-0.0089333085,0.028517844,-0.008934957,0.036233664,-0.013464641
12483,-0.0010705964,-0.00029245485,-0.016607834,-0.0008716844,-0.02138783,-0.014368743,-0.007331548,-0.0058816075,-0.005281232,0.0016002902,0.016017867,-0.03050691,-0.025098287,-0.009903696,0.0010872713,-0.00040309565,-0.032644797,0.0042185583,0.011244806,-0.018473022,-0.008380559,-0.044208746,0.0030843895,-0.023951314,-0.017987216,0.00811218,0.016063621,-0.034109693,0.00043562055,0.0033221573
12484,-0.003731311,-0.00030036652,-0.004743131,-0.02191274,-0.0032453865,-0.02650624,-0.007421428,-0.0072916835,0.009094563,-0.023685113,-0.019949695,-0.024193821,0.013573553,-0.0003027219,0.031351525,-0.01720864,-0.028055182,0.00090676174,0.016537841,-0.047513112,0.00016816396,-0.0147930505,-0.020878026,-0.0072029755,-0.0009363008,-0.005769696,0.07642032,-0.024549736,-0.0055217594,-0.014816473
12485,-0.006154341,0.022489289,-0.029159933,-0.017446943,0.009023794,0.016190132,0.011714014,0.009171148,0.0059833606,0.0033168793,0.028614959,-0.01576063,0.0016651098,-0.009318964,0.021316076,-0.00190841,-0.018047834,0.005330578,0.03138267,-0.043248836,0.0059966645,-0.008789311,-0.020464336,-0.0063744276,0.014998865,-0.013985805,0.06857208,-0.010451339,-0.004034998,-0.011766105
12486,0.009154734,0.010002333,0.0030431654,-0.017694874,0.017918317,0.022201024,0.0265568,0.012709345,-0.0073196054,-0.013496459,0.0025196094,0.017877625,0.018868664,-0.028031183,0.03377084,-0.008457498,-0.021398434,-0.010269419,0.011459224,-0.026509175,0.026312409,0.0014983659,-0.020981269,-0.024446545,0.010473329,0.011591802,0.032262936,-0.006323798,0.01341365,8.925019e-05
12487,0.039899822,0.0012018383,-0.01162036,0.005689653,-0.023962876,0.031374414,0.0021640847,0.017683992,-0.013232194,-0.006156118,-0.017928518,-0.010088927,0.03842664,0.010180256,0.0008843693,0.0096762255,-0.013646446,-0.005493384,-0.0026371528,-0.0017099446,0.02589014,-0.0009825006,-0.006413775,-0.013389104,-0.008328828,0.0059702806,-0.012774224,0.0016903965,-0.0048907152,-0.010492242
12488,0.022816388,0.015721815,0.009942416,0.0063990946,-0.0072923154,0.023304796,0.02483934,-0.0022283867,0.0038204275,0.008083572,0.005673442,0.0034395664,0.021408312,0.026413254,-0.0013638609,0.0056431447,0.012303751,-0.018138032,-0.0014582163,-0.0036012297,0.01430953,0.03210152,-0.0052174553,0.012988287,0.010905996,0.005442748,0.02674733,0.026682809,-0.0001495428,0.029365897
12489,0.0003628029,0.028105125,0.03500286,0.030084923,0.006150221,0.034434315,0.0062715965,0.011239749,-0.0050168377,0.030997379,-0.0072754268,0.00817922,-0.0019750437,0.01250374,-0.0023716143,0.028696725,0.0197653,-0.0012096345,0.024332985,0.010449822,0.0045324205,0.03141537,0.016736392,0.007898988,0.005507868,0.008906312,0.037692647,-0.0017709391,-0.007694972,0.00010388903
12524,-0.003810737,-0.00607919,0.01623989,-0.05009644,-0.001896332,-0.035183836,0.011120745,0.013277237,0.011363447,-0.0100545855,-0.006536691,-0.011215107,0.009115748,0.004067457,0.026721796,0.0023102774,-0.005802968,0.006610868,0.019916357,-0.021912826,0.0085658245,-0.03577375,-0.02227767,-0.03030403,0.021127516,0.008170315,0.07904297,-0.014141254,-0.0172385,-0.029110393
12525,0.01983945,-0.008292525,-0.0142225465,-0.0073225778,0.020986274,-0.028373612,0.030983932,0.023161111,-0.003278884,0.0043996796,-0.029642811,-0.003053221,-0.0114596365,0.006718859,-0.019888774,-0.005025894,-0.007330869,-0.0021162846,-0.0023899416,-0.009640252,-0.034181755,0.007205445,-0.017066726,0.0065686624,-0.008598828,-0.014984551,0.02365852,-0.012774411,0.021518445,-0.0053104446
12526,-0.009987008,-0.008435323,-0.02399213,0.00488588,0.0063403784,0.038946632,-0.02023336,0.008750316,-0.035183858,0.018346192,-0.00770687,-0.014596398,-0.023520296,-0.0010069708,0.0040812735,-0.022980412,-0.021290043,-0.026046908,-0.0040532853,-0.03144516,-0.0024124638,0.012750569,0.004834261,-0.02323736,-0.028572598,0.0022344703,0.031302903,-0.02006258,0.010448518,-0.0036517552
