,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
17302,-0.014763478,0.006001635,0.002671797,0.00039775795,0.020752033,-0.027389327,0.01637098,-0.0015068896,0.024196006,0.02026748,0.012471281,0.008747141,0.019173486,0.020468265,0.021106718,-0.013304642,0.016143939,-0.0098199295,-0.006892217,0.013518296,0.02675034,-0.019364515,0.018307494,0.023489855,-0.014910954,0.0241174,-0.015352159,0.010572411,0.02644443,-0.00069779047
17303,0.014075561,0.022320641,0.019108927,0.022495536,-0.004490742,-0.0012013508,0.012654428,0.013342503,0.0013430245,-0.006823942,0.0027645014,0.0045386357,0.017459812,0.007307948,-0.0116411,-0.0026738085,0.061682206,0.019655313,-0.015337274,0.017838068,-0.003544823,-0.038954794,0.018029341,0.016571345,0.011824854,0.024426587,-0.011015378,0.0047972556,0.011252682,0.02100698
17347,-0.009932321,-0.013207443,0.00859118,-0.0017226614,-0.012842596,-0.0003703522,0.031804387,0.02218514,-0.0114283115,0.025514564,0.00065504824,0.00019720306,-0.01175746,0.025924625,0.029103035,0.0071338993,0.012600493,0.0059930496,0.023714034,0.005851276,0.012530674,0.00044362,0.01362213,0.024627553,0.0006259294,0.01152067,-0.021508357,0.0036479011,0.013830379,-0.0059414506
17348,0.0054691075,0.02114962,0.00661667,0.013270373,-0.030183017,-0.0020963072,0.010390365,-0.0004023908,-0.04612642,-0.0033050154,-0.0008419091,-0.0037586286,0.014299691,0.021370359,-0.0040958896,0.015070955,-0.021531671,0.01751355,0.024173312,0.03499064,0.027454128,-0.0025932197,0.020481916,0.002338844,0.012364146,0.013394415,0.014533055,-0.019065706,-0.016291017,0.03015925
20057,0.042738006,-0.003116383,0.019420773,0.021652361,0.025467524,0.028766492,0.026180888,0.004334459,0.006976124,0.052018385,0.008263797,0.042642277,0.0440004,0.021600403,0.031760912,0.014806635,0.0101240715,0.029423788,-0.012695973,0.027198201,0.018019013,0.0051612756,0.0046999357,-0.005260384,0.047834348,0.025356166,0.01662285,0.00092915044,0.006233728,-0.005923243
20100,0.018324718,0.009154337,-0.008625525,0.027742386,-0.008200664,0.03463046,0.030542567,0.031541646,0.024163114,-0.008242583,0.010966246,-0.008770835,0.023196204,0.0055642487,0.031007916,0.032967363,-0.024189802,0.008710708,0.038406614,0.019367496,0.024561895,0.008444493,0.019540284,0.027562184,0.001601624,0.020993387,0.0006742428,0.015512417,0.0334839,-0.00034539276
20101,0.043148,-0.007691674,0.02155242,0.0043376083,-0.010575908,0.03185797,0.013413473,-0.0057918592,0.014087059,0.032545518,0.023929358,-0.022961961,0.052598048,-0.023321288,0.036575027,0.025717268,-0.038988438,0.016612636,0.017694315,0.040552143,0.0053687417,0.012575741,0.02049044,0.00049490883,0.02452766,0.01173013,0.012643854,0.044118553,0.019790864,0.019824615
20143,-0.021906396,0.030236445,0.007267244,0.00193243,0.0111821145,0.006754022,0.06784284,0.061377544,0.0065499055,-0.0053734262,-0.010342111,0.02301381,0.017712565,-0.027760126,0.021620667,0.005301049,0.041682545,0.013288054,0.017422376,0.010223359,-2.1605752e-05,0.03888174,0.021793196,0.015750265,0.032846197,-0.008116626,0.021487286,0.027199825,0.0013028396,0.015736042
20144,-0.006012009,-0.014071472,-0.0029824462,-0.022321269,0.0535561,-0.04328556,0.009945582,-0.007076971,0.03702591,0.009342112,0.0054095252,-0.016464157,-0.003024521,0.0014297947,0.013272524,-0.0054153926,-0.00066790386,-0.023208244,0.004544368,0.000628772,0.009569825,0.0024367012,-0.03231795,0.01039416,0.0004078547,-0.0022779251,-0.026915967,0.009539143,-0.014350819,-0.027039953
20145,0.01724373,0.0047957203,0.010675487,-0.0131516205,0.0067958706,0.022291759,0.0094822375,0.0046050544,0.019996786,0.01790765,-0.016948475,-0.028194854,0.018354649,0.038300566,0.024778308,0.019142171,-0.0013460348,0.0108438125,-0.008606519,-0.012254573,-0.012594999,0.006871486,-0.01881728,0.017732153,0.03478625,-0.0079555875,-0.02261158,-0.025592916,0.026617354,0.003759944
20146,0.032955427,0.021298477,0.01784192,-0.0038713922,-0.012319361,0.019776871,0.018289069,0.018793594,0.041764136,0.050747167,0.026698887,-0.029404638,0.027968116,-0.03337356,0.021153284,0.017601803,-0.026355052,0.028019467,0.03761048,0.0148452455,-0.0013992494,-0.004415432,0.01018968,0.011469594,0.047922786,0.015236785,0.021713326,0.025110358,-0.002468006,0.014892232
20187,-0.01175616,0.0032334551,0.016415348,0.010337313,0.009415816,0.036229018,0.016235592,-0.005522402,0.011191338,0.029439278,0.0053261355,0.004841245,-0.013259135,-0.0060217604,-0.0051904134,-0.008585453,0.034184616,0.023672998,0.009237272,0.025624314,0.008407033,0.03335449,0.0064454586,-0.0013273827,0.0035996363,0.0011007525,0.0035398323,-0.011378777,0.026120238,0.052168343
20188,0.022806896,0.014380286,0.037762526,-0.010994304,0.0034205923,-0.015352505,0.03568055,-0.0024165001,0.05448019,0.001908387,0.0038889523,-0.00012801192,0.010944809,-0.012395891,0.027960865,-0.0038786456,0.0060374923,0.0030290084,0.0017090539,0.03288275,0.00810424,0.007991968,0.015672652,-0.0050690616,0.028491668,0.013384865,0.011516747,0.021253789,-7.83888e-05,0.029760467
20189,-0.008227023,-0.008556622,-0.000795699,-0.0074366783,0.044646416,0.015518107,-0.009549062,-0.010461263,-0.004446269,0.021457242,0.0060644303,0.020578407,-0.021648005,-0.0057638786,-0.0001590847,0.008530832,-0.010647076,-0.030682126,0.024023883,0.022075282,-0.00023947221,0.0045325677,-0.0032639906,0.008110239,-0.013572915,-0.018130992,0.0030002191,0.003067632,-0.028134063,0.016729651
20190,0.0043917545,0.02679549,-0.008535783,-0.008368819,-0.007020688,0.03349006,-0.006099511,-0.0061655287,0.010840182,0.01870809,0.024025112,0.026087284,-0.016563643,0.02648559,0.013420532,-0.0023577472,0.02078624,-0.029833259,0.02201313,-0.018073069,0.0036531098,-0.022214105,-0.011543766,0.003678831,0.015731435,-0.0112242745,0.0028918032,0.005276839,0.008359057,0.029839156
