,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
14652,0.05663888,0.09827223,0.07324562,0.060801532,0.07438492,0.10902799,0.067264415,0.06346034,0.13686243,0.093848825,0.071891725,0.078849785,0.05690663,0.079605214,0.090475716,0.094590984,0.064218804,0.05632551,0.10203308,0.06937531,0.09788108,0.09034792,0.12401175,0.08937956,0.09988711,0.08656753,0.088718854,0.07267173,0.06460291,0.10671356
14653,0.058843717,0.055523098,0.039052308,0.024686834,0.059235368,0.03239647,0.033206448,0.015610859,0.050803218,0.072111376,0.026359633,0.0366568,0.0094439285,0.041292995,0.032022286,0.0051208064,0.01314002,0.023579597,0.041000873,0.0491794,0.015277519,0.05298007,0.06764318,0.037599657,0.04520384,0.053556174,0.048244063,0.032605495,0.03576561,0.043324143
14684,-0.029800514,0.019710397,0.009112804,0.02749114,0.018509323,0.017263904,0.055203293,0.04241534,0.018058665,0.010920316,0.021445699,0.0314467,0.00026154084,-0.013281736,0.0044379383,0.027103549,0.0054996423,-0.008545696,-0.011710147,0.036257263,0.01719945,0.015290595,-0.0011960963,-0.014188102,-0.033918228,0.025193403,0.022396632,0.0016072796,0.008806044,-0.0063249185
14685,0.03144459,0.006700359,0.024992736,0.03405461,0.023102617,0.029413154,0.023698935,0.0004603304,0.04826561,0.007854591,0.03908784,0.022452526,-0.0074595213,-0.0043938053,0.049785722,0.0088681085,0.017703524,0.039493915,0.0015620919,0.009070215,0.020009222,0.025167165,0.031402778,0.017687866,0.018725906,0.018092891,0.014661352,0.002603215,-0.014954347,-0.050658762
14686,0.028513653,0.09740025,0.04923342,0.05547482,0.053791344,0.08054409,0.05166979,0.022513011,0.084521204,0.07430759,0.017611602,0.038047154,0.02950008,0.08411968,0.087853275,0.070603505,0.028793631,0.039000437,0.05787234,0.083717234,0.052122336,0.040453166,0.12999584,0.053520788,0.059246052,0.056114882,0.035532955,0.041481387,0.03950021,0.032127537
14687,0.054854095,0.083948426,0.06252023,0.06126824,0.08514008,0.08595965,0.043750256,0.07106935,0.08187594,0.0840407,0.07585094,0.06065048,0.05001797,0.08940316,0.07441722,0.07384144,0.04938225,0.032706406,0.08460466,0.0743831,0.0741638,0.06329463,0.12879415,0.076630965,0.111737736,0.07496353,0.0695023,0.06958874,0.041023996,0.09258488
14688,0.07672454,0.06895261,0.03461208,0.022930741,0.069909774,0.047182858,0.040748786,0.042616654,0.064479955,0.060776513,0.06434223,0.06711831,0.04247805,0.075470135,0.041036204,0.07173381,0.03963679,0.035753805,0.071858026,0.074094675,0.03726727,0.085851245,0.08224348,0.05053525,0.028930826,0.06804266,0.08444441,0.056094136,0.03854278,0.06304262
14720,-0.00034133438,0.021477131,0.019811852,0.02864596,0.017417869,-0.0011497382,0.01804331,-0.010961666,-0.0054275277,0.0043355855,0.037580505,0.019659946,0.018718233,0.008844246,0.022730889,0.031097464,-0.015037754,-0.0035345864,0.016294004,-0.010102828,0.020187782,0.03605063,0.0048492923,0.0326752,-0.018612891,-0.0027967002,0.035380866,-0.0052030254,0.010443631,0.0007206853
14721,-0.011826496,0.036809303,0.03661684,-0.0015950998,0.0019206175,-0.04829806,-0.010332975,0.0014591692,0.024516253,-0.017220207,-0.021643393,0.012743108,-0.025257543,-0.010159106,0.013278517,0.011324178,-0.013403227,-0.026636498,-0.0002566854,-0.0013745917,-0.00881002,-0.030155657,0.008838205,0.014300011,-0.00012682068,-0.02491127,0.0044558607,-0.0019312477,0.0008064319,-0.00020478915
14722,-0.02527985,0.0054904185,0.018487277,-0.0013686972,-0.04343242,-0.015201397,0.01062687,0.0048202258,0.014200676,-0.00693104,-0.019197071,0.035661757,-0.019170031,-0.0016580777,0.0017446354,-0.0026502127,-0.0034558761,-0.027152212,0.012267913,0.025905075,0.0034122092,0.0055223666,0.010052562,0.0034911593,0.02884315,-0.017963698,-0.008334638,0.003422267,-0.0052712797,0.01510467
