,cat,camel,bird,giraffe,monkey,donkey,kangaroo,rhinoceros,elephant,raccoon,horse,cow,leopard,rabbit,goat,lion,turtle,zebra,dog,frog,sheep,tiger,ant,alligator,deer,penguin,bear,squirrel,fish,bee
205581,0.011537176,0.037844848,0.014203501,0.07575106,0.035147637,0.0027316473,0.0459915,0.03839342,0.03539568,0.023715228,0.03598493,0.042842925,0.036362994,0.017171087,0.029319592,0.028849805,0.043298107,0.05029812,0.050172493,0.050977733,0.024750395,0.0057895505,0.009895529,0.0015644431,0.03673546,0.052565467,0.04986431,-0.008157943,0.009353951,0.0027209457
208372,-0.014753297,0.016650755,-0.03185242,0.021807449,0.00887196,0.0037403859,-0.03596128,-0.022543842,-0.00020246068,0.0140802665,-0.002925121,0.0011241633,-0.0064830226,0.0027603172,-0.0067525622,0.005115134,0.014751946,-0.0002859244,0.0092119435,0.02251763,0.009731662,0.0009811778,-0.018225154,-0.014082152,0.0049641076,0.016626382,-0.020170428,0.0035409117,0.009948232,-0.015614033
208421,-0.004853577,0.02141541,-0.007180559,-0.008555674,0.031001562,-0.016506696,-0.0033006605,0.008035452,-0.028218428,-0.008687815,-0.0029824146,-0.0074817888,0.0021251508,-0.014247023,0.01226182,-0.0008507247,-0.022872427,0.0068346537,-0.011379438,0.0061788275,-0.016223742,0.03293046,-0.0069461553,-0.011055671,-0.04889177,-0.003308965,-0.012498413,0.0024478168,-0.015239824,0.0062593096
208422,0.054923195,0.047940355,0.03565201,0.056331817,0.012006268,0.01840764,0.032673575,-0.016085284,0.02357121,-0.016640756,0.009393931,0.023379201,0.0031920264,0.03800891,0.00048416108,0.019501338,0.03753782,0.022260884,0.051088315,0.011138648,0.021380914,0.024026604,0.005919589,0.023966521,0.0038972255,0.025147006,-0.0024037985,-0.015799014,-0.010445873,0.026416847
208423,-0.0110305445,0.013560257,-0.017905131,-0.0073993565,-0.0043144445,-0.031275388,-0.03680535,-0.024439732,0.017869517,0.039202165,0.011523742,0.0041418867,0.004785201,0.010867927,0.0027217641,-0.018782722,0.0025594623,0.021600677,-0.0095942,-0.025912205,0.029900702,-0.026488977,-0.03301683,0.012201252,-0.029324515,0.006868755,-0.027085936,-0.0052512935,-0.0038621267,0.011419994
208472,0.021488735,0.0075955554,0.044601753,0.022764688,0.03777306,-0.0011830541,0.021217039,-0.009192477,0.010176689,0.009477842,0.0348331,0.028008679,-0.0016399417,0.021155268,0.0029902065,0.03255232,0.030400628,0.03871933,0.0055349036,0.024462953,0.023885094,0.011079997,-0.0063862125,0.020009844,0.020831121,0.03185026,0.019817824,0.032233134,0.018738776,0.017139174
208473,0.034908574,0.01616024,0.014141891,0.029854221,0.033538952,0.020492984,0.056777317,0.014756775,0.030320322,0.018614188,0.03442071,0.011895127,0.032139175,0.021831563,0.009976487,0.036190886,0.016325906,0.04048268,0.053668838,0.022693947,0.0537031,0.013943504,-0.004969791,0.017083405,0.022313723,0.005387289,0.019791042,0.04294621,0.008085835,0.04701637
208474,0.023763394,0.019041797,-0.014351797,-0.009444493,-0.027540868,-0.0074913017,0.013441077,-0.0025040566,-0.004415936,0.031154945,0.0043507726,0.013359302,-0.0080372365,0.02084805,0.026452616,-0.017046506,-0.016447037,-0.022595815,0.01957413,-0.009208696,0.013991133,0.015353599,0.0055497685,0.004329346,0.014810839,-0.009739034,-0.0067399736,0.026851205,0.00027663636,0.041733954
208523,0.039100077,0.016657282,-0.023558231,0.021201195,-0.003121489,0.023376381,0.034883153,0.023237111,-0.009898424,0.023379078,0.020946363,0.01848879,0.028806632,0.023615615,-0.0022844274,0.01176731,0.04439899,-0.009480484,0.009492857,0.024618186,0.0151133165,-0.0029568262,0.008811773,0.026147917,0.002154031,0.018595677,-0.013209266,0.04398417,0.0037002873,0.0051471144
208524,-0.0041764784,0.020880274,-0.01092865,-0.004806097,0.010226413,0.020939827,0.005586229,0.015658915,0.016702635,0.010460243,-0.0008020904,-0.0041767675,0.026833085,0.018923793,-0.022904603,0.011894765,0.03975826,0.0019259546,0.032927442,0.017595222,0.036676135,0.024297714,-0.021087239,-0.010535825,0.042344335,0.0022240449,0.023511596,-0.0045530493,0.0005224487,0.011639078
