,bear,deer,giraffe,donkey,camel,raccoon,sheep,frog,dog,bird,squirrel,lion,rabbit,alligator,leopard,kangaroo,turtle,zebra,penguin,cat,monkey,horse,tiger,elephant,rhinoceros,cow,fish,ant,goat,bee
39651,0.04213384,-0.0094627375,-0.04731362,0.0012542871,0.03393088,0.038266342,0.0380915,-0.016644115,0.014241736,0.009550006,0.0153233735,0.014980833,0.027101753,0.016799515,-0.0037164486,0.00026185685,0.026813736,0.008913833,0.008400677,0.028237455,0.029366046,0.018574817,0.012536352,0.02084764,0.020511664,0.017206186,0.008721435,0.0091894,0.025146753,0.005797848
39693,0.03081095,0.009285118,-0.020558774,0.0013230117,0.015293608,0.012380871,-0.007942157,0.03445777,-0.009342138,0.003293981,0.018734356,-0.017643932,0.011477623,-0.006354335,-0.012005382,0.014815699,0.0077307113,0.023233151,-0.03011357,0.024990484,0.016450394,0.012234201,0.0021477353,0.0077817836,0.017173652,0.024625206,-0.0009563907,0.009730653,-0.013756785,0.004668685
39694,0.074541725,0.03600948,0.016108148,0.01082217,0.014199949,0.087635346,0.07329325,0.006273487,0.00041751703,0.029777551,0.030330198,0.01398996,0.026076121,0.025562814,0.029779911,0.02812843,0.024811491,0.039339196,0.020434203,0.04787874,0.061469316,0.009906786,0.05576395,0.025374405,0.027019596,0.047918517,0.050273445,0.0033163773,0.070294544,-0.0064631905
39695,0.066445924,0.083408356,-0.0050738906,0.007304274,0.047938924,0.06959469,0.076888,0.017948164,0.037162103,0.039733518,0.04442659,0.054826323,0.023733495,0.039485767,0.015052788,0.013588388,0.060031798,0.025607169,-0.007337836,0.028558448,0.046449702,0.043393735,0.035212345,0.030317865,0.03850056,0.07221813,0.044164006,-0.0021642074,0.0700595,0.0017249224
39735,-0.0022984098,0.027687361,0.0076475237,0.01068706,-0.008382195,0.0047263186,0.0104266135,0.0016790653,-0.033819865,0.0025336004,0.006432367,-0.0052302717,0.0058905114,-0.004021992,0.026330702,-0.0046621584,-0.023385286,0.0125918975,0.018916821,-0.0056614857,-0.0037735337,-0.0057897554,0.024395935,-0.00068824243,0.014317412,0.0066098548,0.008142094,-0.015028588,-0.019949073,-0.011322275
39736,0.03377993,0.01860492,-1.2004127e-05,-0.008244374,-0.014924218,0.0439042,0.036955122,0.03578523,-0.037159275,0.009605924,-0.024467476,0.019739198,0.02656769,-0.0121876,-0.0056445277,0.023144446,0.011953436,0.021115005,0.0070060124,0.00785777,0.0041893795,0.0034100264,-0.011008454,-0.009307791,-0.0032122948,0.02384221,0.046176363,-0.00039347797,0.036785945,-0.0032471262
39737,0.074003,0.06761817,0.03727424,0.03584782,0.036210526,0.06636568,0.07578938,0.049411606,-0.010149169,0.024672829,0.023609431,0.023102758,0.047163937,0.046773482,0.03515128,0.0136375055,0.06969501,0.04315636,0.009441926,0.012526664,0.025304733,0.035305258,0.026328081,0.029339952,0.025484322,0.06673541,0.05975008,0.01830517,0.05161098,0.012614916
39738,0.03677572,0.073275134,0.026959367,0.0283504,0.0180132,0.07146937,0.06332429,0.00031372657,0.042762678,0.049391214,0.037779182,0.037456453,0.011670957,0.027871286,0.007391918,-0.00036351988,0.044730436,0.02810889,0.0040781056,0.023935936,0.009707117,0.030838838,0.056442562,0.04065154,0.03432641,0.061725676,0.050384726,-0.019247087,0.053306777,0.0048515894
39774,0.003029802,0.01930757,0.018040976,0.0032007042,-0.005930172,0.020663561,0.014982137,0.021385796,-0.020927772,-0.0029829238,-0.0051931594,0.002325044,0.0053988122,-0.010602725,-0.009318401,-0.016103806,-0.009744248,-0.001530361,0.020169822,0.029498257,-0.028969621,0.0045252065,-0.016954688,0.016825382,-0.00020628919,0.02661977,0.012367115,-0.017972067,-0.00489306,-0.025432749
39775,0.018592982,0.000924405,-0.018100195,-0.0053714532,-0.0012691614,0.0055304677,0.0040036435,0.0004159085,-0.02390501,-0.014114629,-0.016712211,0.02959182,-0.021237029,-0.013644158,-0.022311129,0.020755727,-0.0048783426,-0.013924315,0.003781793,0.002612525,-0.034930304,0.013539151,-0.0017535546,-0.02368716,-0.022606777,0.0063003562,-0.00076015544,-0.028374197,0.02707882,-0.021426752
